A44085201 파장화남2차
A10025769 힐스테이트호매실
A10026336 수원호매실 능실마을 21단지
A10025347 호매실금호 어울림 에듀포레
A10026483 극동스타클래스
A10027150 호매실 능실마을20단지아파트
A44171102 곡반정삼성래미안
A44171101 곡반정한솔
A44171104 신일유토빌
A44171103 곡반정현대아이파크
A44173913 권선자이e편한세상
A44182405 권선한효
A44171614 권선삼천리1차
A44173909 권선3지구대림
A44171821 권선성지
A44173910 수원아이파크시티3단지
A44173912 수원아이파크시티2단지
A44172115 권선신우
A44183728 권선유원보성
A44171520 권선삼성
A44173914 수원아이파크시티4단지
A44174010 권선대우
A44171822 권선한양
A44172325 권선현대
A44174302 권선일신우남
A44174003 권선신현대
A44173512 권선3주공1단지
A44171927 권선대원신동아
A44174207 권선5단지상록아파트
A44183711 권선벽산
A44171418 권선벽산한성
A44171501 신명
A44173911 수원아이파크시티1단지
A44173619 권선3지구주공3단지
A44174213 권선3단지상록
A44171716 권선삼천리2차
A44174308 권선3지구우남1차
A44171223 권선두산동아
A44172306 권선3지구현대
A44173904 권선써미트빌
A44182326 권선SK뷰
A10025605 씨즈더원
A44172017 권선풍림신안
A10026938 수원아이파크시티8단지
A10027421 수원아이파크시티7단지
A10026835 수원아이파크시티9단지
A10027295 수원아이파크시티 5,6단지 아파트
A44147003 서수원레이크푸르지오1단지
A44147002 서수원레이크푸르지오2단지
A44147001 서수원자이
A44176102 당수한라비발디1단지
A44176104 당수한라비발디2단지
A44175203 당수인정프린스
A44175105 당수삼정
A44176201 서수원쌍용스윗닷홈
A44213001 교동풍림아이원
A44222001 매교문화맨션
A10026819 건영캐스빌
A44278301 대한대우
A10024604 루체스타
A44271814 화서꽃뫼버들마을진흥
A44271801 화서꽃뫼양지마을대우
A44278207 화서주공5단지
A44270402 화서 블루밍푸른숲아파트
A44285708 화서성원상떼빌
A44271805 화서꽃뫼버들마을금강kcc
A44271810 꽃뫼버들마을 코오롱아파트
A44278211 화서3단지주공아파트
A44287003 화서꽃뫼양지마을현대
A44270401 화서벽산
A44287004 화서꽃뫼노을마을풍림
A44287009 화서한진현대
A44271812 화서꽃뫼버들마을엘지
A44271815 화서동문굿모닝힐
A44278215 화서주공4단지
A44271806 신동아아파트 
A44286501 화서영광아파트
A44215213 화서위브하늘채
A44271816 화서한신휴플러스
A44275406 동수원월드메르디앙
A44281603 우만현대
A44281601 우만삼성
A44275102 우만선경
A44275001 우만주공4단지
A44275305 우만주공2단지
A44219001 동수원신도브래뉴
A44219004 수원우만3
A44219002 우만신성미소지움
A44281604 우만주공1단지
A44219003 우만풍림
A44275103 수원우만동양우내안애애플 도시형생활주택
A44219005 로얄타워
A44282801 인계수정
A44282607 인계선경1차
A44277305 인계극동스타클래스
A44276410 신반포수원
A44277304 한화꿈에그린파크
A44276209 인계선경3차
A44277307 인계푸르지오
A44277301 인계파밀리에
A44282703 동수원cj
A44277306 래미안노블클래스1단지2단지
A10027955 코스모골드
A44282808 인계삼성
A10025271 인계리치안 도시형생활주택
A10025519 인계한양수자인
A44277308 인계신미주
A10024542 인계동 동문굿모닝힐 아파트
A44371004 매탄현대힐스테이트
A44380701 매탄금성
A44384808 매탄위브하늘채
A44371706 매탄원천성일
A44379502 매탄주공그린빌4단지
A44337202 매탄극동
A44379205 매탄주공그린빌1단지
A44380407 매탄임광
A44380201 매탄삼성3차
A44371608 매탄성일
A44371902 매탄삼성2차
A44379709 매탄주공그린빌6단지
A44370501 매탄이편한세상
A44379606 매탄주공그린빌5단지
A44380103 매탄동남빌라
A44371303 매탄현대
A44370903 매탄주공5단지
A44372005 한국2차
A44379801 매탄우남퍼스트빌
A44379404 매탄주공그린빌3단지
A44375504 매탄원천1단지주공
A44371204 매탄한국1차
A44380001 매탄우성
A44379303 매탄주공그린빌2단지
A44370802 매탄주공4단지
A44371607 매탄동남
A44371808 매탄삼성1차아파트
A44382404 원천주공2단지
A44382202 원천1차삼성아파트
A44382201 원천신미주
A44377201 광교에일린의뜰
A44382103 원천주공
A44377204 광교호반베르디움
A10025483 광교 중흥S-클래스 아파트
A10025537 경기행복주택 2차 (수원광교 공공실버)
A10026076 광교더샵
A10026001 광교아이파크아파트
A44376014 수원광교센트럴타운60단지
A44376003 광교해모로
A44376013 광교에듀타운자이1단지
A44376007 광교오드카운티
A44376002 광교한양수자인
A44376010 광교에듀타운자이2단지
A44376009 광교자연앤힐스테이트
A44376008 래미안광교
A44376006 광교2차E-편한세상
A44376011 광교자연앤자이3단지 아파트
A44376004 호반가든하임
A44376005 광교호반베르디움
A44376012 e편한세상광교
A44376015 광교에듀타운50단지
A10027910 광교역참누리포레스트
A10027814 광교푸르지오월드마크
A10028125 써밋플레이스 광교
A10027033 e편한세상 TERRACE 광교 East hill
A10027037 광교호반베르디움트라엘아파트
A10027083 e편한세상 TERRACE 광교 West hill
A44376016 광교대광로제비앙
A10026277 수원광교 행복주택
A10027106 광교파크자이더테라스
A44328002 광교호수마을참누리LAKE
A44328001 광교휴먼시아20단지
A44328003 광교레이크파크수자인
A44328005 수원광교센트럴타운62단지
A44328006 광교마을40단지
A44328007 광교호반마을22단지
A44328008 광교호반마을21단지
A44376001 광교호수마을휴먼시아32단지
A44328004 광교상록공무원아파트
A10026256 힐스테이트광교아파트
A44347026 영통황골주공1차
A44347002 영통대우월드마크
A44347012 영통삼성태영아파트
A44347005 영통청명마을동신
A44347001 영통아이파크
A44347022 (살구마을)동아서광성지진덕
A44347025 영통벽적골두산한신
A44378001 영통3차풍림아이원
A44347006 영통건영1차아파트
A44347024 영통신나무실신성신안쌍용진흥
A44347007 영통신나무실신원미주
A44347014 영통황골마을쌍용
A44347027 영통e편한세상
A44347011 영통신나무실극동풍림
A44372702 영통신나무실주공5단지
A44347018 황골마을신명한국
A44347013 영통신나무실신명동보
A44347020 영통황골주공2단지
A44347004 영통청명마을대우
A44347008 영통벽적골주공8-2단지
A44347015 영통벽산풍림
A44347021 영통청명마을벽산삼익
A44678714 청명센트레빌
A44347010 영통청명마을4삼성래미안
A44347023 영통벽적골주공9
A44347003 영통신나무실건영2차
A44347009 영통현대아파트
A44347016 청명주공
A44347017 수원영통벽적골주공1아파트
A44347019 영통벽적골롯데
A10026903 수원 영통 라온프라이빗
A44373401 래미안영통마크원2단지
A44337001 래미안영통마크원1단지
A44370614 동수원자이1차
A44370703 센트럴하이츠
A44340001 영통삼정라츠
A44376911 동수원엘지빌리지2차
A44377707 망포2차현대아이파크
A44376808 망포역마을쌍용1차아파트
A44340013 망포늘푸른벽산
A44370704 한양수자인에듀파크
A44374606 벽산e빌리지 아파트
A44340005 동수원3차쌍용스윗닷홈
A44370701 그대가센트럴파크
A44377009 망포1차현대아이파크
A44370702 그대가프리미어
A44374510 영통뜨란채
A44340012 엘지동수원자이
A44340003 영통마젤란21
A44340004 동수원2차쌍용스윗닷홈
A44370705 망포극동의푸른별
A10027249 e편한세상 영통2차 2단지
A10026799 힐스테이트 영통아파트
A10027247 e편한세상 영통2차 1단지
A10025715 영통아이파크캐슬2단지 아파트
A10025621 영통아이파크캐슬1단지
A44370706 일신건영휴먼빌
A10027563 영통 SK VIEW 아파트 
A46172402 신흥청구
A46170904 성남한신
A46181001 신동아파라디움
A46172303 성남두산
A10024631 산성역 포레스티아 아파트 
A46182001 태평신동아파밀리에
A46119001 가천대역쌍용스윗닷홈
A46182801 가천대역동부센트레빌1단지
A46119002 신세계쉐덴
A46182002 태평선경아파트
A10028128 일성오퍼스원
A10026003 가천대역 두산위브 아파트
A46172801 수진삼정그린뷰
A46170702 수진삼부
A46170703 밀란체2차
A46118001 우리빌주상복합
A46180102 단대한보미도
A46170403 성남코오롱하늘채
A46172504 단대진로아파트
A46170402 단대휴먼시아
A46180003 단대선경논골1차
A46180001 단대진흥더블파크
A46170401 성남단대푸르지오
A46171301 우성에비뉴
A10027595 위례센트럴푸르지오
A10026944 위례자연앤센트럴자이
A10027277 위례호반베르디움 
A10027509 위례 LH 35단지
A10027335 위례자이아파트
A10026623 e편한세상 테라스위례
A10025589 위례포레스트사랑으로부영
A10027369 위례 자연&래미안e편한세상
A10027720 힐스테이트위례
A10026777 LH위례31단지
A10027692 위례더힐55 
A10027709 래미안위례아파트
A10024817 위례역푸르지오
A10025391 고등마을아파트
A10025350 호반써밋판교밸리
A10024914 판교밸리 제일풍경채
A10024816 판교 제2테크노밸리 LH 1단지
A46270703 성남동어울림아파트
A46282401 보미리전빌
A46273302 성남현대
A10026737 성남여수 LH1단지
A46280502 금광삼익1차
A46280301 금광여성
A46270102 황송마을아파트
A46280001 금광단남
A46285003 래미안금광
A46271003 은행주공
A46270901 은행현대
A46215001 두산위브
A46273204 상대원성지
A46212002 상대원선경2차
A46273103 상대원산성
A46280601 상대원산호
A46280702 상대원일성
A46273001 상대원삼익
A46210002 성남 센트럴타운
A46210001 연꽃마을
A10027842 산들마을아파트 
A46208001 도촌휴먼시아섬마을4단지
A46275205 도촌섬마을휴먼시아3단지
A46275208 섬마을7단지
A46275206 도촌휴먼시아섬마을5단지
A46208003 도촌휴먼시아섬마을8단지
A46208004 도촌휴먼시아섬마을9단지
A46208002 도촌휴먼시아섬마을2단지
A46275207 도촌휴먼시아섬마을1단지
A10025147 동분당kcc스위첸파티오
A46273502 하대원현대
A46271503 성남자이
A46283801 하대원성원초원
A46271104 하대원아튼빌
A46271105 태연스카이빌
A46283502 중앙동롯데캐슬아파트
A46283501 중앙동힐스테이트1차
A46283503 중앙동힐스테이트2차
A46374904 분당샛별마을삼부
A46390707 분당장안타운건영2차
A46383202 분당장안타운한신라이프
A46375006 분당샛별마을우방
A46374703 분당샛별마을동성
A46383201 분당건영두산빌라
A46374805 분당샛별마을라이프
A10026832 풍림아이원빌라
A46391907 양지마을 금호 1단지 아파트
A46392104 수내양지마을청구
A46392001 수내양지마을금호3차
A46385410 양지마을 금호 6단지 아파트
A46377908 수내푸른마을신성벽산쌍용
A46385411 수내양지마을한양2단지(603동)
A46392205 수내양지마을한양2단지
A46392206 수내양지마을한양1단지
A10026318 파크타운아파트
A46386328 분당 파크뷰
A46384716 정자로얄팰리스
A46386705 삼성아데나루체
A46375711 정자정든마을한진7차
A46375108 정자정든마을동아1차
A46386703 정자아데나팰리스
A46374427 정자느티마을3단지4단지
A46381101 정자위브제니스타워
A46374428 정자한솔마을주공6차
A46383323 정자한솔마을청구
A46393115 정자정든마을신화
A46383312 정자한솔마을한일
A46375206 정자정든마을우성4차
A46385822 미켈란쉐르빌
A46378626 정자상록마을우성
A46391330 정자한솔마을주공7차
A46381313 정자정든마을한진8차
A46375119 정자정든마을동아2차
A46386710 정자더샵스타파크
A46375607 정든마을한진6차
A46383318 정자한솔마을엘지2차
A46378521 정자상록마을라이프
A46383329 정자한솔마을주공5차
A46375320 정자정든마을우성6차
A46383325 정자한솔마을주공4차
A46384802 정자느티마을경남선경빌라
A46386717 분당상록마을보성임광
A46381114 아이파크분당
A46377309 서현시범우성
A46377610 서현시범한양
A46376303 서현효자촌동아
A46377208 분당시범삼성한신아파트
A46376605 서현효자촌임광
A46376704 효자촌(현대)
A46381901 서현미래타운
A46376107 서현효자촌그린타운
A46376502 서현효자촌삼환
A46377706 서현시범현대
A10027084 서현포스파크
A46377001 서현포스파크
A46382903 이매촌성지
A46380601 이매아름마을한성
A46383002 이매촌코오롱동부
A46379708 이매동신3단지아파트
A46373111 이매아름마을건영
A46373404 이매아름마을선경
A46383010 이매촌금강
A46383012 이매촌청구
A46373506 이매아름마을태영
A46373705 이매아름마을효성
A46379807 이매촌동신9단지
A46382916 이매촌삼성
A46382913 이매촌진흥
A46382909 이매촌삼환
A46373614 이매아름마을풍림
A46383017 이매촌한신
A46373315 아름마을 두산삼호
A10028073 럭키타운아파트
A46383503 야탑에스케이뷰
A46381704 야탑목련마을대원빌라3
A46383501 분당동원로얄듀크아파트
A46392821 야탑탑마을선경
A46394513 야탑목련마을영남
A46378822 야탑장미마을코오롱
A46383608 야탑분당매화연립
A46379226 야탑장미마을현대
A46394212 야탑목련마을한일
A46391625 야탑매화마을주공2단지
A46383606 야탑매화마을동신건영빌라
A46392320 탑마을경남
A46383519 분당매화마을주공3단지
A46383607 매화마을건영빌라
A46382710 야탑아이파크
A46381705 야탑목련마을화성빌리지
A46393214 야탑매화마을주공1단지
A46394711 야탑목련마을SK
A46378823 야탑장미마을동부
A46393018 야탑탑마을주공8단지
A46381702 야탑목련마을대원빌라1
A46392716 야탑탑마을벽산
A46381709 야탑목련마을한신
A46392924 야탑탑마을타워빌
A46384017 야탑탑마을대우
A46391815 야탑매화마을주공4단지
A46393215 야탑진흥더블파크
A10027527 분당성환빌라
A10027088 야탑분당목련1
A46393216 대창파크빌
A46341008 판교원마을5단지
A46341004 판교원마을6단지
A46341003 판교원한림풀에버9단지
A46341005 판교원마을11단지현대힐스테이트
A46341001 판교원마을모아미래도
A46341006 판교원마을12단지
A46341013 판교원마을상록아파트
A46341009 판교원마을10단지
A46341011 판교원마을13단지
A46341007 판교원마을3단지
A46341014 판교원마을1단지
A46341012 판교원마을2단지
A46340005 봇들마을7단지
A46340004 판교봇들마을9단지금호어울림아파트
A46340003 봇들마을3단지(주공)임대
A46340008 봇들마을휴먼시아8단지
A46340001 봇들마을EGthe1
A46340007 봇들마을5단지
A46340006 봇들마을4단지
A46340009 봇들마을6단지
A46340002 판교신미주
A46340010 판교호반써밋플레이스
A10024607 성남판교 경기행복주택
A46374606 판교푸르지오그랑블
A46374607 판교백현마을4단지
A46374608 성남판교백현마을3단지
A46374602 판교백현마을8단지
A46374603 백현마을6단지
A46374601 백현마을9단지대림e-편한세상
A46374605 판교백현마을7단지
A46374604 성남판교백현마을2단지
A46341010 백현마을5단지(주공)
A10027703 판교 알파리움1단지
A10027704 판교알파리움2단지
A46372007 금곡청솔마을유천화인
A46372509 금곡청솔마을한라
A46372305 금곡청솔마을주공5단지
A46386908 분당두산위브트레지움
A46372411 금곡청솔마을주공9단지
A46386902 분당하우스토리
A46371804 금곡청솔마을성원
A46372312 분당청솔마을주공6단지
A46371606 금곡청솔마을계룡
A46386903 금곡청솔마을서광영남
A46394101 금곡청솔마을동아
A46371710 금곡청솔마을대원
A46385001 코오롱더프라우
A46370610 구미무지개마을삼성건영아파트
A46393404 무지개마을건영6단지
A46371417 무지개12단지
A46393601 무지개마을제일
A46380808 까치마을건영빌라3,6단지
A46379307 구미하얀마을그랜드빌
A46374323 분당하얀마을6단지
A46371311 구미무지개마을주공4단지
A46373915 구미까치마을신원
A46380803 구미까치마을건영빌라5단지
A46374321 까치마을4단지롯데선경
A46370005 분당무지개마을금강아파트
A46381002 화이트빌
A46374012 까치마을2단지주공아파트
A46371518 구미무지개마을청구
A46379414 구미하얀마을주공5단지
A46370819 무지개마을신한3단지
A46374322 무지개마을건영3단지
A46370516 구미무지개마을엘지
A46373820 구미까치마을대우롯데선경
A46370313 분당무지개마을대림
A46393506 무지개마을라이프
A46374325 무지개마을동아
A46374324 까치마을금성백조빌라
A10027066 까치마을 금성백조빌라
A46344001 운중산운마을한성필하우스
A46379108 산운마을13단지
A46379106 산운마을14단지경남아너스빌아파트
A46379101 판교대방노블랜드
A46379112 산운마을월든힐스3단지
A46379103 운중산운마을12단지
A46379110 산운마을8단지부영
A46379102 운중산운마을11단지
A46379109 성남판교산운마을7단지
A46379105 판교엘아이지건영리가
A46379104 판교로제비앙10단지
A46379107 산운마을6단지신동아파밀리에
A46379113 산운마을월든힐스2단지
A46374704 산운마을월든힐스1단지
A10028181 운중동 푸르지오하임
A48001002 비비르파크 도시형생활주택
A48001001 의정부IB타워
A48084401 한라비발디루트
A10028168 맥스타워
A10028169 의정부일성트루엘
A10028152 의정부 남해오네뜨
A48076301 동화
A10028176 신한헤스티아
A48084701 신도2차3차
A10026117 메트로타워
A10027612 우미쁘띠린2차 도시형생활주택
A10027613 우미쁘띠린1차 도시형생활주택
A10025424 더라움엠주상복합아파트
A10025407 아이콘스타 리버뷰
A10025405 아이콘스타센트럴
A10025401 아이콘스타1차 로데오
A10025334 승윤노블리안시티2
A10025916 의정부 롯데캐슬골드파크1단지
A10026998 승윤노블리안시티
A10025911 의정부롯데캐슬골드파크2단지
A48084001 아토팰리스
A10025036 럭스타워
A10025113 한원힐트리움 더테라스
A10024738 메트하임 의정부
A10024753 디베뉴스타
A48002005 호원한신1차
A48002028 호원우성3차
A48086801 호원한승미메이드
A48002007 호원한주3차
A48002024 호원신원
A48002025 호원5차우성
A48079002 회룡한주아파트
A48002013 호원동월드한아름
A48002010 호원한신2차
A48002017 호원신일엘리시움
A48002002 호원신도5차
A48002027 호원한주1차2차
A48002033 호원가든1차
A48002016 호원우성1차
A48002035 호원건영
A48002003 호원유원
A48002011 호원신도7차
A48002031 호원현대아이파크
A48077201 신일유토빌
A48002020 호원성호
A48002029 호원가든2차뉴삼익
A48002018 회룡역풍림아이원
A48002022 호원가든3차
A48077202 호원쌍용아파트
A48002023 호원두산
A48002012 호원우성2차
A48002008 호원신도4차
A48002019 호원우남1차
A48002026 호원미도
A48002030 호원삼익
A48002001 호원동흥화브라운빌
A48002015 호원한주4차
A48002004 호원현대
A48002037 호원우남2차
A48002009 호원한주5차
A48002014 한국개나리
A48002036 호원쌍용스윗닷홈
A48002034 신일유토빌플러스
A48002032 호원신도6차
A10025382 호원동 엘리시아
A10026718 의정부호원행복주택단지
A10025233 르네상스시티
A10027231 그랑베르아파트
A10024931 호원하늘빛아파트
A48077007 장암주공2단지
A48093803 수락리버시티2단지
A48003001 삼환나우빌
A48076706 장암동아
A48003008 장암주공1단지
A48073504 장암주공7단지아파트
A48093804 수락리버시티1단지
A48076803 장암우성
A10025742 장암푸르지오2단지아파트
A10025882 장암푸르지오아파트1단지
A10025076 장암 더 샵 포레스트
A48007213 신곡건영
A48091312 삼성래미안진흥아파트
A48074711 신곡은하수
A48076402 신곡동신아파트
A48073415 장암주공5단지
A48086409 금오상록아이파크
A48072806 신곡신일1차
A48093410 신곡신동아파밀리에
A48007003 금오주공9단지
A48073114 장암현대2차
A48091214 드림밸리
A48093510 의정부신명아파트
A48007216 신곡극동동성
A48073002 장암현대1차
A48072108 신곡대우
A48082905 신곡극동클래스
A48093615 신곡주공4단지
A48076401 신곡삼부
A48091508 금오풍림아이원
A48074404 신곡2차성원
A48072912 한일유앤아이
A48072616 신곡서해아파트
A48007113 장암삼익한일
A48091107 금오4주공
A48074005 삼도세라믹아파트
A48007117 발곡풍림한국아파트
A48007111 장암동신현대
A48074101 신곡효자벽산
A48074806 신곡추동아파트
A48007001 신곡주공3단지
A48072709 신곡성원1차
A48007101 신곡부용
A48082904 신곡현대
A48074303 신곡삼환
A48076404 신곡신성벽산
A10025620 e편한세상신곡파크비스타
A10026667 의정부 신명2차스카이뷰
A48079904 신곡동현진에버빌
A10024700 e편한세상 신곡 포레스타뷰
A48074210 신도브래뉴
A48083809 신도10차파크힐타운
A48075603 용현세아1차
A48083904 건영캐스빌
A48090113 송산주공1차
A48075101 용현동문
A48075912 용현현대1차
A48075411 용현동건영아파트
A48076008 용현현대2차
A48075605 용현세아2차
A48075006 용현그랜드
A48074207 용현동신도브래뉴PLUS
A10025436 베르우스M
A48075008 용현금용
A10024736 웰링턴아파트
A48086104 민락e편한세상
A48090408 송산주공4단지
A48075007 민락센트럴아파트
A48071301 민락센트럴17단지
A48093307 송산푸르지오
A48086201 송산주공5단지뜨란채
A48071412 산들마을4단지
A48071611 의정부 민락청구1차
A48090505 송산주공6단지
A48086102 산들마을2단지서광청구
A48086113 산들마을1단지
A48086306 한라비발디
A48090209 송산팰리스아파트
A48071910 민락주공2단지
A48090315 의정부송산3
A48090703 송산센트럴7단지
A10027634 LH브라운빌리지
A10026072 의정부 민락우미린더스카이 아파트
A10026530 민락엘레트아파트
A10026920 민락호반베르디움1차
A10026643 의정부민락호반베르디움3차아파트
A10025848 민락 노블랜드 9단지
A48008001 양지마을8단지
A48008002 용암마을16단지
A48008003 LH부용마을3단지
A10027975 의정부 민락 푸르지오
A10026113 민락라디언트캐슬12단지
A10026796 민락반도유보라아이비파크아파트
A10026665 민락호반베르디움2차아파트
A10027220 의정부 민락금강펜테리움아파트
A10025971 민락대광로제비앙포레스트
A10027388 민락 휴스토리
A10026704 민락양지마을10단지
A10027492 LH 용암마을 13단지
A48093010 금오현대아이파크
A48092903 금오파스텔
A48092612 금오2차신도브래뉴업
A48092405 금오벽산블루밍
A48086509 금오주공그린빌1단지
A48082101 우암센스뷰
A48092306 금오주공2단지
A48092502 금오세아
A48072308 금오거성아파트
A48092607 금오신도브래뉴1차
A48092811 금오3단지주공그린빌
A10026030 아남주상복합아파트
A48092201 브라운스톤흥선
A48010001 신동아파라디움
A48010002 가재울일신건영휴먼빌아파트
A48010003 금광포란재이너스
A48081502 의정부 SK-VIEW아파트
A48071106 동원1차아파트
A48080001 가능금용
A10025884 힐스테이트 녹양역 아파트
A10025288 e편한세상 녹양역아파트
A48090811 녹양주공2단지
A48093202 녹양신도9차전원마을아파트
A48012009 녹양주공1단지
A48082604 녹양휴먼시아4단지
A48012005 녹양동휴먼시아3단지
A48071008 녹양현대
A48093103 녹양대림
A48071207 녹양청구
A48090810 녹양힐스테이트
A48071101 녹양동원2차
A10025897 녹양LH5단지
A10024901 고산 대광로제비앙더퍼스트 아파트
A10025103 쌍용더플래티넘고산엔에이치에프
A10024726 한신더휴고산엔에이치에프
A10024807 정음마을 고산2단지
A10024544 고산대방노블랜드에듀파크
A10025084 고산센트레빌NHF5단지
A10024861 정음마을고산1단지
A43083603 율목주공
A43001003 안양경남아너스빌
A43083402 수리산성원상떼빌2차
A43075306 안양주공뜨란채
A43083401 냉천마을현대아파트
A43001001 명지캐럿 주상복합
A43075701 빌로채주상복합아파트
A43082901 성원5차
A43084301 금용
A43084203 정우
A43072401 안양동 삼성
A43081502 준마
A43083502 수리산성원상떼빌1차
A43001004 세양청마루
A43083201 안양벽산
A43085501 흥화아파트
A43071701 성원1차아파트
A43083607 안양프라자
A43084204 진흥5차아파트
A43083604 효성화운트빌
A43084305 수리산현대홈타운1단지
A43071005 안양동삼성래미안
A43071202 안양대우
A43084306 수리산힐스테이트
A43001002 미래엠피아
A43075603 안양성원2차
A43084302 흥화브라운빌
A43081801 삼호수정
A43001005 안양우성3차
A10026351 안양신성미소지움아파트
A43075008 수리산현대홈타운2단지
A10025706 안양역 한양수자인 리버파크 아파트
A43073101 대안탐스빌산마루
A10025294 서희아리채 
A10027336 래미안안양메가트리아
A43081601 한승미메이드
A10025811 영화아이닉스아파트
A10024678 안양센트럴 헤센 1차
A10025045 안양 명학역유보라더스마트아파트
A43071102 진흥(97-3)
A43072101 석수역푸르지오
A43070605 석수하우스토리
A43070903 코오롱하늘채아파트
A43070804 석수현대
A43004002 관악역이안아파트
A43070604 석수두산위브
A43004001 석수현진에버빌
A43070705 석수엘지빌리지
A43070902 석수아이파크
A43080405 석수경남아너스빌
A43076003 안양구룡주공그린빌
A43080402 대주파크빌
A43080701 석수영풍마드레빌
A43070506 석수e편한세상
A43073804 관악산현대홈타운
A43080801 석수2차e편한세상
A43070603 럭키석수
A10027847 힐스테이트석수아파트
A43080001 박달1차한신휴플러스
A43070306 박달우성
A43080207 한라비발디
A43080302 안양극동스타크래스 아파트
A43003002 대림한숲타운
A43003203 박달신한
A43084602 한신휴플러스타운301동
A43084801 박달신안
A43003003 박달3차한신휴플러스타운
A43072203 박달벽산
A43003001 박달동한일U&I
